PROMBEF_n,PROMAFT_n,TRATAMIENTO_N,Af_inver,asisten,EDAD,GENERO,TIPOPOBLACION,CATEGORIA1,ZONAREG,EDADCAT,NUM_NUC,Puntaje
8394.838,11136.07,INCENTIVO,NO AFECTADO,0,38,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(33,45]",Hasta 4,400
16966.665,13258.6107692308,CONTROL,AFECTADO,0,31,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",De 5 a 8,254
15899.037,12634.55,CONTROL,AFECTADO,0,30,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",De 5 a 8,245
30844.515,13363.7530769231,CONTROL,AFECTADO,0,55,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(45,60]",De 5 a 8,436
15359.57,16337.6607692308,CONTROL,AFECTADO,0,24,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(20,25]",Hasta 4,145
121033.583,35548.0992307692,INCENTIVO,AFECTADO,0,36,FEMENINO,DESPLAZADOS,MEDIO,CENTRO,"(33,45]",Hasta 4,462
6661.291,22370.08,CONTROL,AFECTADO,0,46,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(45,60]",De 5 a 8,449
15791.398,38406.6423076923,CONTROL,AFECTADO,0,37,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,275
37858.548,54592.8953846154,EDUCACION,AFECTADO,2,36,FEMENINO,SISBEN NIVEL1,ALTO,CENTRO,"(33,45]",De 5 a 8,602
16886.022,26260.2115384615,EDUCACION,AFECTADO,0,41,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(33,45]",De 5 a 8,495
48086.396,21502.4984615385,EDUCACION,AFECTADO,0,45,MASCULINO,SISBEN NIVEL1,ALTO,CENTRO,"(33,45]",De 5 a 8,580
17839.785,48594.7053846154,EDUCACION + INCENTIVO,NO AFECTADO,0,31,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",Hasta 4,416
16051.613,14272.6507692308,CONTROL,AFECTADO,0,46,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 5 a 8,266
10447.742,12901.18,CONTROL,AFECTADO,0,37,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 9 a 12,268
38143.342,14909.1084615385,CONTROL,AFECTADO,0,44,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,273
14682.795,32454.4753846154,INCENTIVO,AFECTADO,0,60,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 5 a 8,224
12501.073,14784.9346153846,CONTROL,AFECTADO,0,50,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 5 a 8,277
7818.695,7834.37230769231,EDUCACION,AFECTADO,0,26,FEMENINO,SISBEN NIVEL1,BAJO,SUR,"(25,33]",Hasta 4,386
12363.224,9222.92538461538,CONTROL,AFECTADO,0,45,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,278
17861.508,156204.822307692,EDUCACION,AFECTADO,0,70,FEMENINO,SISBEN NIVEL1,ALTO,NORTE,"(60,92]",Hasta 4,328
65361.828,41299.5884615385,CONTROL,AFECTADO,0,33,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",Hasta 4,197
4541.708,1689.56307692308,CONTROL,AFECTADO,0,36,FEMENINO,SISBEN NIVEL1,BAJO,NORTE,"(33,45]",Hasta 4,259
7631.433,23403.5561538462,EDUCACION,AFECTADO,0,48,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(45,60]",Hasta 4,442
28519.911,21380.9261538462,CONTROL,AFECTADO,0,47,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 5 a 8,277
35966.915,31323.2169230769,CONTROL,AFECTADO,0,40,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,278
26322.579,10797.0723076923,CONTROL,AFECTADO,0,35,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",Hasta 4,272
43631.432,37348.7315384615,EDUCACION,AFECTADO,1,46,FEMENINO,SISBEN NIVEL1,ALTO,NORTE,"(45,60]",De 5 a 8,405
30763.441,36577.0469230769,EDUCACION,AFECTADO,4,50,FEMENINO,SISBEN NIVEL1,ALTO,NORTE,"(45,60]",De 9 a 12,389
36072.293,30003.7876923077,EDUCACION + INCENTIVO,NO AFECTADO,0,34,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,437
16313.978,23217.4969230769,CONTROL,AFECTADO,0,38,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,291
17351.396,12052.0869230769,CONTROL,AFECTADO,0,42,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,302
4712.568,11741.3092307692,INCENTIVO,AFECTADO,0,43,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(33,45]",De 5 a 8,428
24068.816,40907.9753846154,EDUCACION,AFECTADO,0,41,MASCULINO,SISBEN NIVEL1,MEDIO,CENTRO,"(33,45]",Hasta 4,519
11629.033,20794.3092307692,EDUCACION,AFECTADO,2,37,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",Hasta 4,336
11072.043,20781.1261538462,EDUCACION,AFECTADO,0,30,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(25,33]",Hasta 4,446
22112.902,30523.4253846154,CONTROL,AFECTADO,0,37,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(33,45]",De 5 a 8,437
28791.398,47120.6053846154,EDUCACION + INCENTIVO,NO AFECTADO,3,28,FEMENINO,SISBEN NIVEL1,ALTO,NORTE,"(25,33]",Hasta 4,380
26113.762,25867.61,CONTROL,AFECTADO,0,43,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 9 a 12,295
28165.717,12561.2807692308,CONTROL,AFECTADO,0,46,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 5 a 8,229
5556.084,12079.7230769231,CONTROL,AFECTADO,0,26,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",Hasta 4,215
28644.873,28751.5430769231,CONTROL,NO AFECTADO,0,66,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(60,92]",De 5 a 8,396
14301.075,11940.0423076923,CONTROL,AFECTADO,0,37,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,236
14694.191,14060.8453846154,CONTROL,AFECTADO,0,40,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,260
25369.603,100697.462307692,EDUCACION + INCENTIVO,NO AFECTADO,3,34,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,448
5331.184,33308.0076923077,INCENTIVO,AFECTADO,0,35,FEMENINO,DESPLAZADOS,MEDIO,CENTRO,"(33,45]",Hasta 4,423
18083.045,34431.99,EDUCACION,AFECTADO,0,52,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(45,60]",De 5 a 8,452
15750.324,11961.2330769231,CONTROL,AFECTADO,0,52,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 5 a 8,262
3613.333,5604.62307692308,EDUCACION + INCENTIVO,NO AFECTADO,0,31,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",Hasta 4,388
21789.149,33272.5684615385,CONTROL,AFECTADO,0,42,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",Hasta 4,237
65299.173,22021.7023076923,EDUCACION + INCENTIVO,NO AFECTADO,3,35,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,474
9432.258,9483.46615384615,CONTROL,AFECTADO,0,38,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",Hasta 4,259
6504.946,6217.90461538461,INCENTIVO,AFECTADO,0,31,FEMENINO,SISBEN NIVEL1,BAJO,NORTE,"(25,33]",Hasta 4,196
16540.86,24355.4892307692,EDUCACION + INCENTIVO,NO AFECTADO,3,44,FEMENINO,DESPLAZADOS,MEDIO,NORTE,"(33,45]",Hasta 4,454
17618.003,12901.1961538462,CONTROL,NO AFECTADO,0,51,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(45,60]",Hasta 4,390
11064.517,20166.3907692308,INCENTIVO,AFECTADO,0,28,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",De 5 a 8,274
5348.387,12224.0292307692,EDUCACION,AFECTADO,5,43,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(33,45]",Hasta 4,443
10063.056,4386.88692307692,CONTROL,AFECTADO,0,66,FEMENINO,SISBEN NIVEL1,BAJO,NORTE,"(60,92]",De 9 a 12,287
19063.721,33832.9646153846,EDUCACION + INCENTIVO,NO AFECTADO,0,37,FEMENINO,DESPLAZADOS,MEDIO,NORTE,"(33,45]",De 5 a 8,516
29644.579,23442.0653846154,EDUCACION,AFECTADO,6,57,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(45,60]",De 5 a 8,504
29854.012,36534.1261538462,CONTROL,NO AFECTADO,0,31,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(25,33]",De 5 a 8,369
24010.752,36959.3376923077,CONTROL,AFECTADO,0,26,FEMENINO,SISBEN NIVEL1,ALTO,CENTRO,"(25,33]",Hasta 4,413
15445.161,24437.7446153846,CONTROL,AFECTADO,0,38,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(33,45]",De 5 a 8,452
9406.451,12624.1930769231,CONTROL,AFECTADO,0,30,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",De 5 a 8,215
24557.776,56750.9161538462,CONTROL,NO AFECTADO,0,40,FEMENINO,SISBEN NIVEL1,ALTO,SUR,"(33,45]",De 5 a 8,401
11199.507,10184.2369230769,INCENTIVO,AFECTADO,0,46,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 9 a 12,263
20177.978,18841.3930769231,EDUCACION,AFECTADO,5,33,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(25,33]",Hasta 4,509
26305.376,40445.1123076923,INCENTIVO,AFECTADO,0,30,FEMENINO,DESPLAZADOS,ALTO,CENTRO,"(25,33]",De 5 a 8,414
40159.39,17806.0023076923,EDUCACION,AFECTADO,3,36,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",Hasta 4,374
5645.16,14034.5846153846,EDUCACION + INCENTIVO,NO AFECTADO,0,28,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",Hasta 4,411
5197.85,12389.3015384615,EDUCACION,AFECTADO,6,65,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(60,92]",De 5 a 8,421
7588.701,19459.5561538462,CONTROL,AFECTADO,0,35,MASCULINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,284
36170.143,46674.0869230769,EDUCACION + INCENTIVO,NO AFECTADO,5,42,FEMENINO,SISBEN NIVEL1,ALTO,NORTE,"(33,45]",Hasta 4,431
21470.967,45355.9176923077,EDUCACION + INCENTIVO,AFECTADO,4,47,MASCULINO,SISBEN NIVEL1,ALTO,SUR,"(45,60]",Hasta 4,388
16153.549,22832.89,CONTROL,AFECTADO,0,45,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,267
10463.442,104537.765384615,EDUCACION,AFECTADO,6,32,FEMENINO,DESPLAZADOS,ALTO,SUR,"(25,33]",Hasta 4,453
4677.161,12409.2146153846,CONTROL,AFECTADO,0,34,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(33,45]",Hasta 4,411
44435.76,16571.2676923077,CONTROL,AFECTADO,0,45,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",Hasta 4,224
14696.775,24602.4346153846,INCENTIVO,AFECTADO,0,51,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(45,60]",De 5 a 8,458
44762.616,16812.9869230769,EDUCACION,AFECTADO,5,42,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,410
11600,27394.4515384615,EDUCACION,AFECTADO,0,47,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 5 a 8,392
45134.409,53806.3792307692,INCENTIVO,AFECTADO,4,47,FEMENINO,SISBEN NIVEL1,ALTO,CENTRO,"(45,60]",De 5 a 8,541
2138.065,5674.30384615385,EDUCACION,AFECTADO,5,36,FEMENINO,SISBEN NIVEL1,BAJO,SUR,"(33,45]",Hasta 4,417
41545.811,23804.9369230769,INCENTIVO,AFECTADO,0,32,FEMENINO,DESPLAZADOS,MEDIO,CENTRO,"(25,33]",De 5 a 8,429
18129.031,38696.8130769231,CONTROL,AFECTADO,0,33,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",Hasta 4,233
27257.76,7327.95692307692,CONTROL,AFECTADO,0,42,MASCULINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,261
38805.625,11533.2684615385,EDUCACION,AFECTADO,5,52,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 5 a 8,385
5551.884,12056.5269230769,INCENTIVO,AFECTADO,0,34,FEMENINO,DESPLAZADOS,MEDIO,NORTE,"(33,45]",Hasta 4,260
5983.871,34866.4030769231,EDUCACION,AFECTADO,5,41,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(33,45]",De 5 a 8,478
92939.184,42943.9107692308,CONTROL,AFECTADO,0,32,FEMENINO,SISBEN NIVEL1,ALTO,CENTRO,"(25,33]",De 5 a 8,434
18019.604,14609.4238461538,EDUCACION,AFECTADO,2,30,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",Hasta 4,352
11612.902,37468.5884615385,INCENTIVO,AFECTADO,0,31,FEMENINO,DESPLAZADOS,ALTO,CENTRO,"(25,33]",Hasta 4,408
4112.904,29210.4815384615,INCENTIVO,AFECTADO,0,30,FEMENINO,SISBEN NIVEL1,ALTO,CENTRO,"(25,33]",Hasta 4,486
13340.219,12812.3692307692,EDUCACION + INCENTIVO,NO AFECTADO,5,42,FEMENINO,DESPLAZADOS,MEDIO,NORTE,"(33,45]",De 5 a 8,453
59439.745,23359.14,EDUCACION + INCENTIVO,AFECTADO,0,28,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(25,33]",Hasta 4,396
4922.58,7926.51769230769,CONTROL,AFECTADO,0,31,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",Hasta 4,253
18505.377,18617.1184615385,CONTROL,AFECTADO,0,46,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 5 a 8,290
15310.819,14825.9053846154,CONTROL,AFECTADO,0,41,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,276
7502.4,10745.9292307692,INCENTIVO,AFECTADO,0,33,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(25,33]",Hasta 4,464
11037.885,12808.7615384615,CONTROL,AFECTADO,0,40,MASCULINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",Hasta 4,257
16779.569,17815.2069230769,CONTROL,AFECTADO,0,39,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,298
9824.98,36115.6438461538,INCENTIVO,AFECTADO,4,52,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(45,60]",Hasta 4,512
8541.935,28861.0576923077,EDUCACION,AFECTADO,6,35,FEMENINO,SISBEN NIVEL1,ALTO,SUR,"(33,45]",Hasta 4,448
13180.645,50313.15,EDUCACION,AFECTADO,5,46,FEMENINO,SISBEN NIVEL1,ALTO,SUR,"(45,60]",Hasta 4,442
19892.573,26326.8053846154,INCENTIVO,AFECTADO,0,39,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,278
4533.764,5858.37461538462,CONTROL,AFECTADO,0,42,FEMENINO,SISBEN NIVEL1,BAJO,NORTE,"(33,45]",De 5 a 8,254
35140.556,33827.5776923077,EDUCACION,AFECTADO,5,38,FEMENINO,SISBEN NIVEL1,ALTO,CENTRO,"(33,45]",De 5 a 8,589
25134.133,26000.6876923077,EDUCACION,AFECTADO,6,46,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 5 a 8,409
10214.29,10662.5330769231,EDUCACION,AFECTADO,5,36,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(33,45]",Hasta 4,528
18614.229,18108.3630769231,CONTROL,AFECTADO,0,34,FEMENINO,SISBEN NIVEL1,ALTO,NORTE,"(33,45]",De 5 a 8,273
7537.493,31214.3423076923,INCENTIVO,AFECTADO,4,58,MASCULINO,SISBEN NIVEL1,MEDIO,CENTRO,"(45,60]",De 5 a 8,523
10566.917,17525.8369230769,CONTROL,AFECTADO,0,43,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(33,45]",De 5 a 8,456
20967.742,16594.2038461538,EDUCACION,AFECTADO,3,34,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,397
25514.71,24005.4792307692,CONTROL,AFECTADO,0,33,FEMENINO,SISBEN NIVEL1,ALTO,NORTE,"(25,33]",Hasta 4,235
3087.098,3392.35153846154,CONTROL,AFECTADO,0,47,FEMENINO,SISBEN NIVEL1,BAJO,NORTE,"(45,60]",Hasta 4,212
7856.56,14808.1538461538,CONTROL,AFECTADO,0,42,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,243
25284.254,23705.9776923077,CONTROL,AFECTADO,0,52,MASCULINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 9 a 12,261
32019.077,37359.2484615385,EDUCACION + INCENTIVO,NO AFECTADO,0,50,FEMENINO,DESPLAZADOS,MEDIO,NORTE,"(45,60]",De 5 a 8,471
6838.925,17166.3507692308,CONTROL,AFECTADO,0,26,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",De 9 a 12,234
22349.462,35349.1046153846,INCENTIVO,AFECTADO,0,33,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(25,33]",Hasta 4,409
3675.27,8811.96692307692,CONTROL,AFECTADO,0,36,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 9 a 12,251
14551.31,22959.5046153846,EDUCACION,AFECTADO,1,32,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(25,33]",Hasta 4,511
19792.473,20970.51,EDUCACION,AFECTADO,6,54,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(45,60]",De 5 a 8,457
6212.078,15856.4138461538,INCENTIVO,AFECTADO,4,36,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(33,45]",Hasta 4,483
45000.001,46864.6146153846,CONTROL,AFECTADO,0,45,FEMENINO,SISBEN NIVEL1,ALTO,CENTRO,"(33,45]",De 5 a 8,435
45570.941,25222.2784615385,EDUCACION,AFECTADO,5,47,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 9 a 12,420
15802.15,18852.5638461538,INCENTIVO,AFECTADO,0,57,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 9 a 12,283
44479.127,37799.7076923077,INCENTIVO,AFECTADO,1,49,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(45,60]",Hasta 4,502
18118.28,17617.6576923077,EDUCACION + INCENTIVO,NO AFECTADO,3,28,FEMENINO,DESPLAZADOS,MEDIO,NORTE,"(25,33]",Hasta 4,421
16125.806,25753.8307692308,CONTROL,AFECTADO,0,35,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,284
9862.699,15679.1030769231,EDUCACION + INCENTIVO,AFECTADO,5,39,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(33,45]",Hasta 4,416
16892.473,20262.1607692308,CONTROL,AFECTADO,0,30,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",De 5 a 8,230
36695.388,26638.8369230769,INCENTIVO,AFECTADO,0,49,FEMENINO,DESPLAZADOS,MEDIO,CENTRO,"(45,60]",De 5 a 8,437
9802.15,20300.4661538462,EDUCACION,AFECTADO,5,30,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(25,33]",Hasta 4,417
7981.936,15442.0992307692,CONTROL,AFECTADO,0,34,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,274
8534.659,7123.30846153846,INCENTIVO,AFECTADO,4,39,FEMENINO,SISBEN NIVEL1,BAJO,CENTRO,"(33,45]",De 5 a 8,522
13824.981,42429.67,EDUCACION,AFECTADO,0,30,FEMENINO,SISBEN NIVEL1,ALTO,SUR,"(25,33]",Hasta 4,413
13361.289,20309.75,CONTROL,AFECTADO,0,30,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",De 5 a 8,263
9889.498,12865.2438461538,EDUCACION,AFECTADO,6,43,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(33,45]",Hasta 4,452
9470.142,15701.6776923077,EDUCACION,AFECTADO,0,32,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(25,33]",Hasta 4,393
3677.418,25477.3938461538,EDUCACION,AFECTADO,5,34,FEMENINO,SISBEN NIVEL1,MEDIO,SUR,"(33,45]",Hasta 4,430
23191.399,28952.3092307692,INCENTIVO,AFECTADO,0,40,FEMENINO,DESPLAZADOS,ALTO,CENTRO,"(33,45]",De 5 a 8,459
5706.451,8038.17307692308,CONTROL,AFECTADO,0,34,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",Hasta 4,261
8795.699,12129.2230769231,CONTROL,AFECTADO,0,30,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",Hasta 4,248
95083.818,31276.6476923077,EDUCACION,AFECTADO,0,43,FEMENINO,SISBEN NIVEL1,ALTO,NORTE,"(33,45]",De 5 a 8,425
9432.469,5076.09846153846,EDUCACION,AFECTADO,4,64,FEMENINO,SISBEN NIVEL1,BAJO,NORTE,"(60,92]",Hasta 4,337
47752.687,68067.5930769231,CONTROL,AFECTADO,0,22,FEMENINO,SISBEN NIVEL1,ALTO,NORTE,"(20,25]",Hasta 4,128
